year,chm_name,chm_path,variant_id,source_root,relative_parent,mean_f1,mean_auc,mean_precision,mean_recall,mean_accuracy,n_models
2022,436646_2022_madal_exp_intensity_04_13_median_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2022_madal_exp_intensity_04_13_median_all_last2_20cm.tif,madal_exp_intensity_04_13_median_all_last2_20cm,lamapuit,cdw_experiments_436646/median_all,0.2943169690793789,0.9637966804979253,0.942415458937198,0.2041666666666667,0.6987012987012987,5
2022,436646_2022_madal_cdw_features_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2022_madal_cdw_features_lowest_all_last_20cm.tif,madal_cdw_features_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.2680224166700819,0.9545182111572152,1.0,0.17222222222222222,0.6903896103896103,5
2022,436646_2022_madal_exp_split_rgb_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2022_madal_exp_split_rgb_lowest_all_last_20cm.tif,madal_exp_split_rgb_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.2680224166700819,0.9545182111572152,1.0,0.17222222222222222,0.6903896103896103,5
2018,436646_2018_madal_exp_intensity_04_13_median_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_exp_intensity_04_13_median_ground_all_20cm.tif,madal_exp_intensity_04_13_median_ground_all_20cm,lamapuit,cdw_experiments_436646_refactor_smoketest/median_ground,0.2369388743582292,0.8033312577833126,0.29966954022988507,0.2363636363636364,0.880891719745223,5
2024,436646_2024_madal_exp_density_00_13_lowest_ground_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2024_madal_exp_density_00_13_lowest_ground_last_20cm.tif,madal_exp_density_00_13_lowest_ground_last_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.2333333333333333,0.9166325835037492,0.33999999999999997,0.17777777777777776,0.9149171270718233,5
2024,436646_2024_madal_exp_density_00_13_lowest_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2024_madal_exp_density_00_13_lowest_ground_all_20cm.tif,madal_exp_density_00_13_lowest_ground_all_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.22666666666666666,0.9173142467620995,0.3333333333333333,0.17777777777777776,0.9160220994475138,5
2024,436646_2024_madal_exp_density_00_13_lowest_ground_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2024_madal_exp_density_00_13_lowest_ground_last2_20cm.tif,madal_exp_density_00_13_lowest_ground_last2_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.22666666666666666,0.9173142467620995,0.3333333333333333,0.17777777777777776,0.9160220994475138,5
2024,436646_2024_madal_exp_intensity_04_13_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2024_madal_exp_intensity_04_13_lowest_all_all_20cm.tif,madal_exp_intensity_04_13_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.2260545957097681,0.7699386503067485,0.2580940988835726,0.22222222222222224,0.8497237569060774,5
2022,436646_2022_madal_exp_return_chm13_median_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2022_madal_exp_return_chm13_median_all_last2_20cm.tif,madal_exp_return_chm13_median_all_last2_20cm,lamapuit,cdw_experiments_436646/median_all,0.22495723897058575,0.9097568003688336,0.9899509803921568,0.1388888888888889,0.6768831168831169,5
2020,436646_2020_madal_exp_intensity_04_13_median_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2020_madal_exp_intensity_04_13_median_all_all_20cm.tif,madal_exp_intensity_04_13_median_all_all_20cm,lamapuit,cdw_experiments_436646/median_all,0.22464603402235542,0.9480744544287548,0.7604700854700855,0.14634146341463414,0.8283018867924529,5
