raster,width,height,nodata,valid_pixels,min_val,max_val,p95,p99,above_clip_count,above_clip_pct,tag_hag_max
580537_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18214773,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580537_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18831806,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580537_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18987699,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580537_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18583170,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580538_2017_madal_chm_max_hag_20cm.tif,5000,5001,-9999.0,14903802,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580538_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17459144,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580538_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18833246,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580538_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17989836,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580538_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18919407,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580538_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19174789,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580538_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18819068,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580539_2017_madal_chm_max_hag_20cm.tif,5000,5001,-9999.0,15407425,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580539_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17848685,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580539_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19253463,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580539_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18625808,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580539_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19204104,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580539_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19610191,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580539_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19181107,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580540_2017_madal_chm_max_hag_20cm.tif,5000,5001,-9999.0,13594901,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580540_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,15312976,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580540_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17115357,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580540_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,16157386,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580540_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17630571,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580540_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17616378,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580540_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17411776,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580543_2017_madal_chm_max_hag_20cm.tif,5000,5001,-9999.0,14287875,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580543_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,16377456,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580543_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18175981,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580543_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17393132,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580543_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18212568,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
